Date,AAPL,TSLA,NVDA
,AAPL,TSLA,NVDA
2025-05-22,201.36000061035156,341.0400085449219,132.82078552246094
2025-05-23,195.27000427246094,339.3399963378906,131.2808837890625
2025-05-27,200.2100067138672,362.8900146484375,135.49058532714844
2025-05-28,200.4199981689453,356.8999938964844,134.80064392089844
2025-05-29,199.9499969482422,358.42999267578125,139.1803436279297
2025-05-30,200.85000610351562,346.4599914550781,135.12062072753906
2025-06-02,201.6999969482422,342.69000244140625,137.37046813964844
2025-06-03,203.27000427246094,344.2699890136719,141.21018981933594
2025-06-04,202.82000732421875,332.04998779296875,141.91014099121094
2025-06-05,200.6300048828125,284.70001220703125,139.98028564453125
2025-06-06,203.9199981689453,295.1400146484375,141.7101593017578
2025-06-09,201.4499969482422,308.5799865722656,142.62010192871094
2025-06-10,202.6699981689453,326.0899963378906,143.95001220703125
